Reporter,Year,Sector,Subsector,Primary NAICS Code,NAICS Definition,Parent Company,City,County,Jurisdiction,Total Emissions (MTCO2e),Biogenic Carbon Dioxide (MTCO2e),Carbon Dioxide (MTCO2e),Methane (MTCO2e),Nitrous Oxide (MTCO2e),HFCs (MTCO2e),PFCs (MTCO2e),Sulfur Hexafluoride (MTCO2e),Fluorinated - Other (MTCO2e),Notes,Point Size,Location,New Georeferenced Column
Valero Marketing and Supply Company,2012,Transportation Fuel Supplier,Transportation Fuel Supplier,424720,Petroleum and Petroleum Products Merchant Wholesalers (except Bulk Stations and Terminals),The Premcor Refining Group,NA,NA,NA,162579,10502,152077,0,0,0,0,0,0,,,,
REG Grays Harbor LLC - Hoquiam,2018,Petroleum Systems,Other Petroleum Systems,325199,All Other Basic Organic Chemical Manufacturing,Renewable Energy Group Inc.,Hoquiam,Grays Harbor,Olympic Region Clean Air Agency,19370,0,19351,9,11,0,0,0,0,,1,"(46.968196, -123.853622)",POINT (-123.853622 46.968196)
Cascade Natural Gas Corporation LDC - statewide,2012,Natural Gas Systems,Natural Gas Local Distribution Companies,221210,Natural Gas Distribution,MDU Resources Group Inc.,Kennewick,Benton,Benton Clean Air Agency,12622,0,20,12602,0,0,0,0,0,,1,,
bp Cherry Point Refinery - Blaine,2015,Petroleum Systems,Petroleum Refineries,324110,Petroleum Refineries,BP America Inc.,Blaine,Whatcom,Northwest Clean Air Agency,1935385,0,1921100,10204,4081,0,0,0,0,,4,"(48.8864, -122.7353)",POINT (-122.7353 48.8864)
Packaging Corporation of America - Wallula,2015,Pulp and Paper,Kraft Mills,322121,Paper (except Newsprint) Mills,Packaging Corp of America,Wallula,Walla Walla,Ecology: Industrial Section,852649,717427,123676,8991,2556,0,0,0,0,,3,"(46.10396, -118.9184)",POINT (-118.91840000000002 46.10396000000001)
"SEH America, Inc - Vancouver",2019,Manufacturing,Electronics Industry,334413,Semiconductor and Related Device Manufacturing,SEH America Inc.,Vancouver,Clark,Southwest Clean Air Agency,11699,0,11687,6,7,0,0,0,0,,1,"(45.649912, -122.553612)",POINT (-122.55361199999999 45.649912)
Owens-Brockway Glass Container Inc Plant #2 - Kalama,2015,Minerals,Glass Production,327213,Glass Container Manufacturing,O-I Glass Inc.,Kalama,Cowlitz,Southwest Clean Air Agency,22288,0,22272,7,9,0,0,0,0,,1,"(46.031656, -122.866241)",POINT (-122.86624100000002 46.031656)
Valero Marketing and Supply Company,2018,Transportation Fuel Supplier,Transportation Fuel Supplier,424720,Petroleum and Petroleum Products Merchant Wholesalers (except Bulk Stations and Terminals),The Premcor Refining Group,NA,NA,NA,18171,1205,16966,0,0,0,0,0,0,,,,
King County Solid Waste Cedar Hills Landfill - Maple Valley,2018,Waste,Landfills,562212,Solid Waste Landfill,King County Solid Waste Division,Maple Valley,King,Puget Sound Clean Air Agency,68423,0,334,68088,1,0,0,0,0,,2,"(47.462625, -122.046025)",POINT (-122.046025 47.462625)
Tree Top - Prosser,2017,Food Production,Fruit Products,311411,"Frozen Fruit, Juice, and Vegetable Manufacturing",Tree Top Inc.,Prosser,Benton,Benton Clean Air Agency,16242,0,16225,8,9,0,0,0,0,,1,"(46.21842, -119.73397)",POINT (-119.73397 46.21842)
SDS Lumber Company - Bingen,2016,Wood Products,Lumber Mills,321113,Sawmills,SDS Lumber Company,Bingen,Klickitat,Ecology: Central Regional Office,105113,103591,138,199,1185,0,0,0,0,,3,"(45.713913, -121.468688)",POINT (-121.468688 45.713913000000005)
Port Townsend Paper Corporation - Port Townsend,2017,Pulp and Paper,Kraft Mills,322121,Paper (except Newsprint) Mills,Crown Paper Group Inc.,Port Townsend,Jefferson,Ecology: Industrial Section,601256,547590,50493,580,2594,0,0,0,0,,3,"(48.093793, -122.796806)",POINT (-122.79680600000002 48.093793)
"WestRock CP, LLC - Tacoma",2019,Pulp and Paper,Kraft Mills,322130,Paperboard Mills,Westrock Corp.,Tacoma,Pierce,Ecology: Industrial Section,1087848,958705,123204,1074,4865,0,0,0,0,,4,"(47.260953, -122.421765)",POINT (-122.421765 47.260953)
"SEI Fuel Services, Inc.",2019,Transportation Fuel Supplier,Transportation Fuel Supplier,447110,Gasoline Stations with Convenience Stores,"7-Eleven, Inc.",NA,NA,NA,309643,20679,288964,0,0,0,0,0,0,,,,
Imerys Minerals Quincy Plant - Quincy,2019,Minerals,Other Minerals,212399,All Other Nonmetallic Mineral Mining,Imerys Filtration Minerals Inc.,Quincy,Grant,Ecology: Eastern Regional Office,20150,0,20129,10,11,0,0,0,0,,1,"(47.239948, -119.838831)",POINT (-119.83883100000001 47.239948)
Cardinal FG Company - Winlock,2018,Minerals,Glass Production,327211,Flat Glass Manufacturing,Cardinal Glass Industries Inc.,Winlock,Lewis,Southwest Clean Air Agency,107006,0,106930,35,42,0,0,0,0,,3,"(46.544937, -122.926313)",POINT (-122.926313 46.544937)
Puget Sound Energy - Mint Farm Generating Station - Longview,2020,Power Plants,Natural Gas Turbine Plants,221112,Fossil Fuel Electric Power Generation,Puget Holdings LLC,Longview,Cowlitz,Southwest Clean Air Agency,694044,0,693340,322,383,0,0,0,0,,3,"(46.140095, -122.985138)",POINT (-122.98513800000002 46.140095)
Northwest Pipeline C/S - Mount Vernon,2019,Natural Gas Systems,Natural Gas Transmission/Compression,486210,Pipeline Transportation of Natural Gas,"The Williams Companies, Inc.",Mount Vernon,Skagit,Northwest Clean Air Agency,35096,0,32768,2310,18,0,0,0,0,,2,"(48.421967, -122.21547)",POINT (-122.21547000000001 48.421967)
Northwest Pipeline C/S - Sumner,2019,Natural Gas Systems,Natural Gas Transmission/Compression,486210,Pipeline Transportation of Natural Gas,"The Williams Companies, Inc.",Sumner,Pierce,Puget Sound Clean Air Agency,14576,0,13818,751,8,0,0,0,0,,1,"(47.228986, -122.209551)",POINT (-122.20955100000002 47.228986)
"Analog Devices, Inc. - Camas",2020,Manufacturing,Electronics Industry,334413,Semiconductor and Related Device Manufacturing,Linear Technology Corporation,Camas,Clark,Southwest Clean Air Agency,14360,0,1957,1,1413,2069,4654,4095,172,,1,"(45.598844, -122.45232)",POINT (-122.45232 45.59884400000001)
Tree Top - Selah Campus,2019,Food Production,Fruit Products,311411,"Frozen Fruit, Juice, and Vegetable Manufacturing",Tree Top Inc.,Selah,Yakima,Yakima Regional Clean Air Agency,15320,0,15304,7,9,0,0,0,0,,1,"(46.64992, -120.52755)",POINT (-120.52755000000002 46.64992)
Simplot Feeders LTD. - Burbank,2020,Livestock,Cattle Feedlots,112112,Cattle Feedlots,J.R. Simplot Company,Burbank,Walla Walla,Ecology: Eastern Regional Office,32477,0,1162,2432,28883,0,0,0,0,,2,"(46.133131, -118.90629)",POINT (-118.90629 46.133131)
"Vaagen Bros. Lumber, Inc. - Colville",2015,Wood Products,Lumber Mills,321113,Sawmills,Vaagen Bros. Lumber Inc.,Colville,Stevens,Ecology: Eastern Regional Office,44422,43836,0,84,501,0,0,0,0,,2,"(48.548525, -117.915469)",POINT (-117.91546900000002 48.548525)
Cowlitz County Landfill - Longview,2015,Waste,Landfills,562212,Solid Waste Landfill,Cowlitz County,Longview,Cowlitz,Southwest Clean Air Agency,4533,0,0,4533,0,0,0,0,0,,1,"(46.107229, -122.905601)",POINT (-122.905601 46.107229)
The Boeing Company: DC/MFC - Tukwila,2020,Manufacturing,Transportation Industry,336411,Aircraft Manufacturing,The Boeing Company,Tukwila,King,Puget Sound Clean Air Agency,12613,0,12599,6,7,0,0,0,0,,1,"(47.516246, -122.298613)",POINT (-122.29861300000002 47.516246)
The Boeing Company: Boeing Plant 2 - Seattle,2012,Manufacturing,Transportation Industry,336411,Aircraft Manufacturing,The Boeing Company,Seattle,King,Puget Sound Clean Air Agency,23481,0,23457,11,13,0,0,0,0,,1,"(47.532524, -122.311623)",POINT (-122.31162300000001 47.532524)
Northwest Pipeline C/S - Mount Vernon,2012,Natural Gas Systems,Natural Gas Transmission/Compression,486210,Pipeline Transportation of Natural Gas,"The Williams Companies, Inc.",Mount Vernon,Skagit,Northwest Clean Air Agency,29203,0,20885,8303,15,0,0,0,0,,2,"(48.421967, -122.21547)",POINT (-122.21547000000001 48.421967)
DH Feeders - Eltopia,2018,Livestock,Cattle Feedlots,112112,Cattle Feedlots,Easterday Ranches,Eltopia,Franklin,Ecology: Eastern Regional Office,15078,0,1349,1064,12665,0,0,0,0,,1,"(46.50919, -118.881203)",POINT (-118.88120300000001 46.50919)
Elbow River Marketing USA Ltd.,2017,Transportation Fuel Supplier,Transportation Fuel Supplier,412110,Petroleum and petroleum products merchant wholesalers,Parkland Fuel Corporation,NA,NA,NA,22543,0,22543,0,0,0,0,0,0,First year reporting.,,,
ExxonMobil Oil Corporation,2012,Transportation Fuel Supplier,Transportation Fuel Supplier,424720,Petroleum and Petroleum Products Merchant Wholesalers (except Bulk Stations and Terminals),ExxonMobil Oil Corporation,NA,NA,NA,789950,47558,742392,0,0,0,0,0,0,,,,
Georgia-Pacific Consumer Products LLC - Camas,2017,Pulp and Paper,Kraft Mills,322121,Paper (except Newsprint) Mills,Koch Industries Inc.,Camas,Clark,Ecology: Industrial Section,559482,386972,164003,7198,1310,0,0,0,0,,3,"(45.584271, -122.40843)",POINT (-122.40843 45.584271)
River Road Generating Plant - Vancouver,2019,Power Plants,Natural Gas Turbine Plants,221112,Fossil Fuel Electric Power Generation,Clark Public Utilities,Vancouver,Clark,Southwest Clean Air Agency,686739,0,686042,318,379,0,0,0,0,,3,"(45.64958, -122.724806)",POINT (-122.724806 45.64958)
Guy Bennett Lumber Company - Clarkston,2018,Wood Products,Lumber Mills,321113,Sawmills,Bennett Lumber Products Inc.,Clarkston,Whitman,Ecology: Eastern Regional Office,15574,15240,0,130,203,0,0,0,0,,1,"(46.423108, -117.086487)",POINT (-117.08648699999999 46.423108)
Nippon Dynawave - Longview,2020,Pulp and Paper,Kraft Mills,322121,Paper (except Newsprint) Mills,Nippon Paper Industries USA Co Ltd,Longview,Cowlitz,Ecology: Industrial Section,1532609,1172768,352042,1656,6143,0,0,0,0,Emissions no longer include units that split to become North Pacific Paper Company in 2016.,4,"(46.130495, -122.983637)",POINT (-122.98363700000002 46.130495)
Emerald City Renewables LLC LFGTE- Graham,2015,Power Plants,"Other Power, Heating, or Cooling Plants",221117,Biomass Electric Power Generation,NECCIF Investments II Inc.,Graham,Pierce,Puget Sound Clean Air Agency,19534,19435,0,30,70,0,0,0,0,,1,"(46.975533, -122.290871)",POINT (-122.29087100000001 46.975533)
Georgia-Pacific Consumer Products LLC - Camas,2019,Pulp and Paper,Kraft Mills,322121,Paper (except Newsprint) Mills,Koch Industries Inc.,Camas,Clark,Ecology: Industrial Section,95543,0,88970,6524,50,0,0,0,0,2018 shut down pulp plant.,2,"(45.584271, -122.40843)",POINT (-122.40843 45.584271)
Sonoco Products - Sumner,2018,Pulp and Paper,Other Pulp and Paper,322130,Paperboard Mills,Sonoco Products Company,Sumner,Pierce,Puget Sound Clean Air Agency,11448,0,11436,6,7,0,0,0,0,,1,"(47.210641, -122.239474)",POINT (-122.23947400000002 47.210641)
Puget Sound Energy - Sumas Generating Station - Sumas,2012,Power Plants,Natural Gas Turbine Plants,221112,Fossil Fuel Electric Power Generation,Puget Holdings LLC,Sumas,Whatcom,Northwest Clean Air Agency,106647,0,106539,50,59,0,0,0,0,,3,"(48.9905, -122.2733)",POINT (-122.27329999999999 48.9905)
Equilon Enterprises LLC dba Shell Oil Products US,2015,Transportation Fuel Supplier,Transportation Fuel Supplier,424710,Petroleum Bulk Stations and Terminals,Shell Petroleum Inc.,NA,NA,NA,4523704,0,4523704,0,0,0,0,0,0,,,,
PacifiCorp Energy - Chehalis Generation Facility - Chehalis,2013,Power Plants,Natural Gas Turbine Plants,221112,Fossil Fuel Electric Power Generation,Berkshire Hathaway,Chehalis,Lewis,EFSEC,678982,0,678293,314,375,0,0,0,0,,3,"(46.6226, -122.9145)",POINT (-122.91449999999999 46.6226)
"Solvay Chemicals, Inc. - Longview",2015,Chemicals,Other Chemicals,325188,All Other Basic Inorganic Chemical Manufacturing,Solvay Chemicals Inc.,Longview,Cowlitz,Southwest Clean Air Agency,44254,0,44254,0,0,0,0,0,0,,2,"(46.137218, -122.982847)",POINT (-122.98284700000002 46.137218)
"Bio Energy Washington, LLC - Maple Valley",2017,Power Plants,"Other Power, Heating, or Cooling Plants",221119,Other Electric Power Generation,Bio Energy Washington,Maple Valley,King,Puget Sound Clean Air Agency,28310,26824,1344,42,100,0,0,0,0,,2,"(47.455871, -122.041817)",POINT (-122.041817 47.455871)
Valero Marketing and Supply Company,2020,Transportation Fuel Supplier,Transportation Fuel Supplier,424720,Petroleum and Petroleum Products Merchant Wholesalers (except Bulk Stations and Terminals),The Premcor Refining Group,NA,NA,NA,0,0,0,0,0,0,0,0,0,,,,
WaferTech LLC - Camas,2016,Manufacturing,Electronics Industry,334413,Semiconductor and Related Device Manufacturing,WaferTech LLC,Camas,Clark,Southwest Clean Air Agency,156445,0,13143,6,8568,11501,60123,39182,23921,,3,"(45.619569, -122.454955)",POINT (-122.454955 45.619569)
Terrace Heights Landfill - Yakima,2014,Waste,Landfills,562212,Solid Waste Landfill,Yakima County Public Services - Solid Waste Division,Yakima,Yakima,Yakima Regional Clean Air Agency,107008,0,29,106980,0,0,0,0,0,,3,"(46.610031, -120.39408)",POINT (-120.39407999999999 46.610031000000006)
Grant County Landfill 1 - Ephrata,2016,Waste,Landfills,562212,Solid Waste Landfill,Grant County,Ephrata,Grant,Ecology: Eastern Regional Office,42711,0,0,42711,0,0,0,0,0,,2,"(47.270759, -119.573764)",POINT (-119.573764 47.270759)
Puget Sound Energy LDC - statewide,2014,Natural Gas Systems,Natural Gas Local Distribution Companies,221210,Natural Gas Distribution,Puget Holdings LLC,Bellevue,King,Puget Sound Clean Air Agency,60382,0,73,60309,0,0,0,0,0,,2,,
"Interfor US, Inc. - Tacoma",2012,Wood Products,Lumber Mills,321113,Sawmills,Simpson Lumber Company LLC,Tacoma,Pierce,Puget Sound Clean Air Agency,12269,0,12256,6,7,0,0,0,0,,1,"(47.260211, -122.426476)",POINT (-122.42647600000001 47.260211)
Northwest Pipeline Roosevelt C/S - Bickleton,2018,Natural Gas Systems,Natural Gas Transmission/Compression,486210,Pipeline Transportation of Natural Gas,"The Williams Companies, Inc.",Bickleton,Klickitat,Ecology: Central Regional Office,13971,0,11803,2162,7,0,0,0,0,,1,"(45.849504, -120.08083)",POINT (-120.08083 45.849504)
Shell Puget Sound Refinery - Anacortes,2013,Petroleum Systems,Petroleum Refineries,324110,Petroleum Refineries,Shell Petroleum Inc.,Anacortes,Skagit,Northwest Clean Air Agency,2006978,0,1995767,6822,4389,0,0,0,0,,5,"(48.470931, -122.559161)",POINT (-122.559161 48.470931)
Imerys Minerals Quincy Plant - Quincy,2015,Minerals,Other Minerals,212399,All Other Nonmetallic Mineral Mining,Imerys Filtration Minerals Inc.,Quincy,Grant,Ecology: Eastern Regional Office,19541,0,19521,9,11,0,0,0,0,,1,"(47.239948, -119.838831)",POINT (-119.83883100000001 47.239948)
"Emerald Kalama Chemical, LLC - Kalama",2014,Chemicals,Other Chemicals,325199,All Other Basic Organic Chemical Manufacturing,Emerald Performance Materials LLC,Kalama,Cowlitz,Southwest Clean Air Agency,89952,0,89867,37,49,0,0,0,0,,2,"(46.02191, -122.85698)",POINT (-122.85697999999998 46.02191)
bp Cherry Point Refinery - Blaine,2016,Petroleum Systems,Petroleum Refineries,324110,Petroleum Refineries,BP America Inc.,Blaine,Whatcom,Northwest Clean Air Agency,2270165,0,2254595,10672,4899,0,0,0,0,,5,"(48.8864, -122.7353)",POINT (-122.7353 48.8864)
Southern Counties Oil Co Ltd,2018,Transportation Fuel Supplier,Transportation Fuel Supplier,424720,Petroleum and Petroleum Products Merchant Wholesalers (except Bulk Stations and Terminals),"Southern Counties Oil Co., A California LP",NA,NA,NA,64330,1122,63208,0,0,0,0,0,0,,,,
Lamb Weston - Warden,2017,Food Production,Potato Products,311411,"Frozen Fruit, Juice, and Vegetable Manufacturing",Ochoa AG Unlimited Foods Inc.,Warden,Grant,Ecology: Eastern Regional Office,18987,0,18968,9,11,0,0,0,0,,1,"(46.971504, -119.055427)",POINT (-119.05542700000001 46.971504)
Tree Top - Wenatchee,2014,Food Production,Fruit Products,311423,Dried and Dehydrated Food Manufacturing,Tree Top Inc.,Wenatchee,Chelan,Ecology: Central Regional Office,10146,0,10136,5,6,0,0,0,0,First year reporting.,1,"(47.48938, -120.31426)",POINT (-120.31425999999999 47.48938)
Naval Base Kitsap Bangor - Silverdale,2016,Government,National Security,928110,National Security,US Government,Silverdale,Kitsap,Puget Sound Clean Air Agency,20109,0,20086,10,13,0,0,0,0,,1,"(47.699284, -122.696926)",POINT (-122.696926 47.699284)
Puget Sound Energy - Ferndale Generating Station - Ferndale,2016,Power Plants,Natural Gas Turbine Plants,221112,Fossil Fuel Electric Power Generation,Puget Holdings LLC,Ferndale,Whatcom,Northwest Clean Air Agency,354145,0,353786,164,195,0,0,0,0,,3,"(48.828707, -122.685533)",POINT (-122.68553299999999 48.82870700000001)
Northwest Pipeline C/S - Sumner,2013,Natural Gas Systems,Natural Gas Transmission/Compression,486210,Pipeline Transportation of Natural Gas,"The Williams Companies, Inc.",Sumner,Pierce,Puget Sound Clean Air Agency,19881,0,19342,528,11,0,0,0,0,,1,"(47.228986, -122.209551)",POINT (-122.20955100000002 47.228986)
Darigold - Lynden,2014,Food Production,Dairy Products,311514,"Dry, Condensed, and Evaporated Dairy Product Manufacturing",Darigold Inc.,Lynden,Whatcom,Northwest Clean Air Agency,21683,0,21661,10,12,0,0,0,0,,1,"(48.947567, -122.451915)",POINT (-122.451915 48.947567)
"SEH America, Inc - Vancouver",2012,Manufacturing,Electronics Industry,334413,Semiconductor and Related Device Manufacturing,SEH America Inc.,Vancouver,Clark,Southwest Clean Air Agency,12150,0,12138,6,7,0,0,0,0,,1,"(45.649912, -122.553612)",POINT (-122.55361199999999 45.649912)
Vitol Inc.,2014,Transportation Fuel Supplier,Transportation Fuel Supplier,424720,Petroleum and Petroleum Products Merchant Wholesalers (except Bulk Stations and Terminals),Vitol Inc,NA,NA,NA,14658,921,13737,0,0,0,0,0,0,,,,
Okanogan County Central Landfill - Okanogan,2020,Waste,Landfills,562212,Solid Waste Landfill,Okanogan County,Okanogan,Okanogan,Ecology: Central Regional Office,15597,0,0,15597,0,0,0,0,0,,1,"(48.341148, -119.620109)",POINT (-119.62010900000001 48.341148)
CertainTeed Gypsum - Seattle,2015,Manufacturing,Building Products,327420,Gypsum Product Manufacturing,Saint-Gobain Corporation,Seattle,King,Puget Sound Clean Air Agency,38141,0,38101,18,21,0,0,0,0,,2,"(47.548056, -122.336944)",POINT (-122.336944 47.548056)
Spokane Waste to Energy Facility - Spokane,2019,Power Plants,"Other Power, Heating, or Cooling Plants",562213,Solid Waste Combustors and Incinerators,City of Spokane,Spokane,Spokane,Spokane Regional Clean Air Agency,234194,134316,94749,2001,3130,0,0,0,0,,3,"(47.626529, -117.504278)",POINT (-117.50427800000001 47.626529)
Roosevelt Regional Landfill - Roosevelt,2015,Waste,Landfills,562212,Solid Waste Landfill,"Republic Services, Inc.",Roosevelt,Klickitat,Ecology: Central Regional Office,248507,0,189,248318,1,0,0,0,0,,3,"(45.807146, -120.179785)",POINT (-120.179785 45.807146)
Alcoa Wenatchee Works - Malaga,2014,Metals,Aluminum Production,331312,Primary Aluminum Production,Alcoa Corp.,Malaga,Chelan,Ecology: Industrial Section,354692,0,270752,14,16,0,83910,0,0,,3,"(47.3567, -120.1273)",POINT (-120.12730000000002 47.3567)
Puget Sound Energy - Jackson Prairie Gas Storage - Chehalis,2018,Natural Gas Systems,Natural Gas Storage,221210,Natural Gas Distribution,Avista Corp.,Chehalis,Lewis,Southwest Clean Air Agency,12159,0,10869,1284,6,0,0,0,0,First year reporting.,1,"(46.53461, -122.838569)",POINT (-122.838569 46.53461)
Bonneville Power Administration - WA Only - statewide,2013,Power Plants,Electrical Transmission and Distribution,221121,Electric Bulk Power Transmission and Control,US Government,Vancouver,Clark,Southwest Clean Air Agency,42114,0,0,0,0,0,0,42114,0,,2,"(45.661178, -122.658608)",POINT (-122.658608 45.661178)
Northwest Pipeline C/S - Mount Vernon,2018,Natural Gas Systems,Natural Gas Transmission/Compression,486210,Pipeline Transportation of Natural Gas,"The Williams Companies, Inc.",Mount Vernon,Skagit,Northwest Clean Air Agency,56715,0,54226,2459,30,0,0,0,0,,2,"(48.421967, -122.21547)",POINT (-122.21547000000001 48.421967)
